code	state	2020_EW10	2020_EW11	2020_EW12	2020_EW13	2020_EW14	2020_EW15	2020_EW16	2020_EW17	2020_EW18	2020_EW19	2020_EW20	2020_EW21	2020_EW22	2020_EW23	2020_EW24	2020_EW25	2020_EW26	2020_EW27	2020_EW28	2020_EW29	2020_EW30	2020_EW31	2020_EW32	2020_EW33	2020_EW34	2020_EW35	2020_EW36	2020_EW37	2020_EW38	2020_EW39	2020_EW40	2020_EW41	2020_EW42	2020_EW43	2020_EW44	2020_EW45	2020_EW46	2020_EW47	2020_EW48	2020_EW49	2020_EW50	2020_EW51	2020_EW52	2020_EW53	2021_EW01	2021_EW02	2021_EW03	2021_EW04	2021_EW05	2021_EW06	2021_EW07	2021_EW08	2021_EW09	2021_EW10	2021_EW11	2021_EW12	2021_EW13	2021_EW14	2021_EW15	2021_EW16	2021_EW17	2021_EW18	2021_EW19	2021_EW20	2021_EW21	2021_EW22	2021_EW23	2021_EW24	2021_EW25	2021_EW26	2021_EW27	2021_EW28	2021_EW29	2021_EW30	2021_EW31	2021_EW32	2021_EW33	2021_EW34	2021_EW35	2021_EW36	2021_EW37	2021_EW38	2021_EW39	2021_EW40	2021_EW41	2021_EW42	2021_EW43	2021_EW44	2021_EW45	2021_EW46	2021_EW47	2021_EW48	2021_EW49	2021_EW50	2021_EW51	2021_EW52	2022_EW01	2022_EW02	2022_EW03	2022_EW04	2022_EW05	2022_EW06	2022_EW07	2022_EW08	2022_EW09	2022_EW10	2022_EW11	2022_EW12	2022_EW13	2022_EW14	2022_EW15	2022_EW16	2022_EW17	2022_EW18	2022_EW19	2022_EW20	2022_EW21	2022_EW22	2022_EW23	2022_EW24	2022_EW25
AK	Alaska	0	1	15	76	80	89	58	25	26	15	18	20	32	131	145	125	183	311	333	496	733	956	552	585	547	533	496	547	554	705	882	1180	1376	1728	2812	2951	3846	4080	4225	4829	4226	3191	1784	2324	2158	1699	1497	1043	1043	1149	996	889	1039	932	899	1098	1238	1281	1139	1138	1089	732	584	438	306	261	183	223	160	349	347	709	1378	1668	2100	2237	3333	3597	3889	4533	5185	7319	8024	5645	6419	5505	4615	4231	3049	2916	2004	1897	1441	1214	655	1875	8184	13265	16727	17051	12516	7190	3854	2727	2106	2608	1490	945	1907	936	1303	1528	1496	1464	1623	1950	2020	2012	2485	2175	0
AL	Alabama	0	15	134	652	926	1619	1442	1486	1426	2020	2108	2500	3361	2666	5009	4319	5400	8133	9586	13379	12007	12111	9555	7072	7883	9346	6759	6252	6412	7387	7216	6517	7439	11694	9782	9905	12325	14865	14285	22596	25252	27063	23554	26000	29692	21531	18761	16140	15729	8545	6130	6697	6728	3894	7782	2985	2543	1973	3543	3767	2411	2435	9085	2099	1477	2180	1738	1334	1277	1364	3307	4873	9653	16476	21602	20696	31845	28268	31262	26532	22489	19120	12379	7679	6002	6116	12056	4087	3696	3200	2315	3186	3813	5342	10793	28529	69566	38442	132765	77701	36112	19598	10590	6398	3939	6054	2187	1322	2960	1262	1139	1632	1596	1664	2313	3173	4554	4592	8332	9620	5129
AR	Arkansas	0	12	119	287	334	485	516	1167	461	375	831	1197	1238	2088	2994	3047	4168	3899	4655	4669	5448	5192	5638	3581	4207	4179	4312	5020	5450	5595	5770	5695	6202	6896	6872	8638	11338	11655	11205	14356	14870	15862	13855	17473	20304	18432	12817	11392	11677	6498	2668	3965	5458	2160	1734	1313	1110	1083	1354	1235	1326	1447	1272	1353	1250	1055	1528	1599	1782	3325	4881	7120	11748	12124	16456	15382	15737	14569	14127	11162	10432	7916	5343	4829	4168	3426	2995	2985	3474	4413	3347	5760	5235	5034	6749	20650	42373	62776	59044	33227	25300	12715	7849	5006	3969	3301	3819	2495	575	565	545	746	911	1173	1440	1974	2371	2832	4107	4963	1590
AS	American Samoa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	1	0	0	5	0	0	1	0	7	0	0	0	17	22	0	27	112	247	623	1196	1555	1201	518	172	114	101	76	73	58	62	0	151	0
AZ	Arizona	4	8	92	669	1246	1374	1331	1562	2078	2596	2706	2387	3205	6193	9209	15467	19997	24443	25363	21335	18776	16961	9105	6547	5241	3392	4230	2611	5423	3275	3573	4579	5481	6313	9174	11438	15669	22281	27440	36126	43689	45642	44810	46109	68195	59556	48456	38022	25714	16230	10840	9544	9412	6975	3671	3569	4504	5183	4029	5026	5495	4811	4114	3915	4055	2848	3090	2938	3369	3807	4118	5480	9544	11575	16180	18995	20365	22989	21595	18476	18511	17444	18377	16252	15557	16364	17720	20417	24856	26916	24325	25660	24724	21103	20647	35000	71925	101560	166437	115282	66743	34431	16834	13970	3879	6549	5153	4566	10143	6840	2777	2377	2350	3911	5490	7204	11498	13042	14677	16334	0
CA	California	94	241	1061	6118	7339	8627	9181	11790	11454	13374	12210	14078	17989	18381	20765	26771	39935	49493	61249	62562	66877	57984	46411	65501	41872	36280	32454	23023	24014	24658	23635	23443	21876	31741	29842	41892	57133	89141	101683	155767	225209	310688	277649	282488	295830	278994	172418	139250	98999	70858	46817	38766	31362	24406	20602	18770	18803	23056	18480	14313	14035	13133	11277	8906	12588	6326	7098	6748	10368	7357	13343	27335	44416	59501	96371	88465	108092	95611	96926	68139	68332	41619	52055	42472	37400	40250	43610	44002	44466	32182	24750	45765	47309	48444	89753	233565	542102	852655	770202	596119	317885	204254	96321	66190	42582	30951	29180	23799	18634	23964	23327	33774	44288	55296	61590	98503	111266	102438	122994	104729	62735
CO	Colorado	8	95	372	1586	2504	2328	2547	3528	3257	3150	2258	2331	2134	1750	1169	1331	1674	1844	2725	3197	4001	3478	3057	2514	2045	2157	1946	1910	3460	4154	4045	5087	6727	9031	13950	20617	31267	35445	30604	32064	28287	20964	17021	15553	19775	14536	11483	10053	9237	8727	6829	7650	8300	6991	7075	7769	9304	10542	11585	11647	12129	9578	8688	5899	5436	4095	4118	2978	2946	2730	3129	3428	3460	5793	6610	7834	9414	11187	12217	12544	13754	12242	12633	14948	16374	15781	19841	19994	21507	22774	17125	16728	15497	12398	19768	43025	60134	114311	82147	54494	29777	18462	13011	9450	6386	7616	5788	9775	7455	7801	9349	10309	7484	6803	17578	11496	22571	13409	29475	14491	6061
CT	Connecticut	0	23	171	1330	3752	6234	6040	7033	4704	3697	3719	3319	2015	1796	1176	721	491	511	570	606	883	1034	510	577	634	976	870	961	1201	1060	1710	1741	2792	3222	5155	6918	10520	12824	11112	15134	19046	16021	9961	17377	15874	17428	14393	12208	9349	7965	5764	6845	5384	5247	6114	8519	8746	7630	7476	5704	4467	3485	2259	1348	1016	550	459	315	455	356	493	706	1362	2298	3741	3760	4020	4852	4427	3798	5409	3391	3333	2942	3115	3103	2357	2386	2781	5168	5555	6802	14148	16143	18991	35631	63523	63861	34102	24396	10070	6744	6443	3050	2456	4864	2171	2328	3080	3618	4758	6158	6471	7891	13288	18156	8851	5465	4424	4514	2028
DC	District of Columbia	0	0	98	206	598	876	888	1033	1098	1305	940	924	751	552	440	275	232	231	354	393	523	488	448	506	375	391	313	255	409	313	258	445	416	372	560	625	923	1147	1347	1564	1771	1699	1368	1799	1948	2080	1540	1585	1215	919	757	925	795	1159	743	876	881	830	817	640	478	467	366	197	171	170	111	64	62	73	77	197	321	425	705	1098	1141	1214	1362	1048	1885	1354	1126	1371	274	612	652	559	572	657	482	920	1272	2517	8346	14721	15754	11831	5329	2617	1726	1533	877	629	352	545	529	570	564	717	2169	1583	588	0	3244	2023	2061	1734	1794	1104	262
DE	Delaware	0	6	39	169	379	886	1059	1038	1462	1239	1270	982	893	423	384	452	410	905	747	686	773	702	625	894	432	531	549	834	723	707	969	873	944	905	1104	1307	2137	2926	3349	4426	5780	5260	4337	4400	5602	4897	4543	3636	2281	2840	1859	1986	1622	2017	1786	1759	2376	2126	2574	2150	1694	1327	925	1407	490	300	252	209	129	189	173	320	390	678	1151	1629	2274	2465	2818	2831	3228	3240	3174	3071	2586	2184	1892	1662	1921	2513	2361	3515	4202	4799	6640	12317	18356	22858	13407	8458	3797	2536	1654	1501	734	843	571	590	663	553	923	1358	1062	1915	2889	4029	3605	2767	2586	1734	923
