"","week","case_count","percent"
"1",2021-01-04,15874,0.89
"2",2021-01-11,17428,0.49
"3",2021-01-18,14393,0.74
"4",2021-01-25,12208,0.85
"5",2021-02-01,9349,1.02
"6",2021-02-08,7965,3.33
"7",2021-02-15,5764,3.33
"8",2021-02-22,6845,3.45
"9",2021-03-01,5384,5.31
"10",2021-03-08,5247,10.06
"11",2021-03-15,6114,9.29
"12",2021-03-22,8519,8.42
"13",2021-03-29,8746,3.91
"14",2021-04-05,7630,13.43
"15",2021-04-12,7476,9.08
"16",2021-04-19,5704,11.64
"17",2021-04-26,4467,9.63
"18",2021-05-03,3485,9.67
"19",2021-05-10,2259,12.53
"20",2021-05-17,1348,14.47
"21",2021-05-24,1016,10.73
"22",2021-05-31,550,12.18
"23",2021-06-07,459,10.24
"24",2021-06-14,315,20.32
"25",2021-06-21,455,11.65
"26",2021-06-28,356,21.07
"27",2021-07-05,493,19.27
"28",2021-07-12,706,25.92
"29",2021-07-19,1362,25.26
"30",2021-07-26,2298,22.89
"31",2021-08-02,3741,16.28
"32",2021-08-09,3760,21.14
"33",2021-08-16,4020,18.78
"34",2021-08-23,4852,16.2
"35",2021-08-30,4427,14.37
"36",2021-09-06,3798,19.27
"37",2021-09-13,5409,13.57
"38",2021-09-20,3391,18.7
"39",2021-09-27,3333,15.45
"40",2021-10-04,2942,20.84
"41",2021-10-11,3115,23.15
"42",2021-10-18,3103,21.53
"43",2021-10-25,2357,30.04
"44",2021-11-01,2386,37.59
"45",2021-11-08,2781,35.31
"46",2021-11-15,5168,22.58
"47",2021-11-22,5555,13.97
"48",2021-11-29,6802,16.27
"49",2021-12-06,14148,7.76
"50",2021-12-13,16143,7.5
"51",2021-12-20,18991,6.58
"52",2021-12-27,35631,5.16
"53",2022-01-03,63523,2.69
"54",2022-01-10,63861,1.49
"55",2022-01-17,34102,3.98
"56",2022-01-24,24396,4.8
"57",2022-01-31,10070,8.33
"58",2022-02-07,6744,10.53
"59",2022-02-14,6443,17.03
"60",2022-02-21,3050,22.43
"61",2022-02-28,2456,12.91
"62",2022-03-07,4864,10.75
"63",2022-03-14,2171,22.75
"64",2022-03-21,2328,16.54
"65",2022-03-28,3080,17.4
"66",2022-04-04,3618,18.79
"67",2022-04-11,4758,15.05
"68",2022-04-18,6158,12.03
"69",2022-04-25,6471,12.78
"70",2022-05-02,7891,12.58
"71",2022-05-09,13288,7.31
"72",2022-05-16,18156,4.33
"73",2022-05-23,8851,7.46
"74",2022-05-30,5465,10.28
"75",2022-06-06,4424,13.45
"76",2022-06-13,4514,7.84
"77",2022-06-20,5304,8.58
"78",2022-06-27,6739,5.99
"79",2022-07-04,4838,2.67
"80",2022-07-11,4961,0.42
"81",2022-07-18,1674,0
