"","date","total"
"1",2022-08-17,"17715"
"2",2022-08-24,"17798"
"3",2022-08-25,"17881"
"4",2022-08-31,"17971"
"5",2022-09-01,"18061"
"6",2022-09-07,"18152"
"7",2022-09-14,"18330"
"8",2022-09-21,"18421"
"9",2022-09-28,"18513"
"10",2022-10-05,"18601"
"11",2022-10-12,"18601"
"12",2022-10-13,"18601"
"13",2022-10-19,"18778"
"14",2022-10-26,"18869"
"15",2022-11-02,"18953"
"16",2022-11-09,"18953"
"17",2022-11-16,"19039"
"18",2022-11-23,"19118"
"19",2022-11-30,"19197"
"20",2022-12-07,"19281"
"21",2022-12-15,"19368"
"22",2022-12-21,"19459"
"23",2022-12-23,"20011"
"24",2022-12-29,"20011"
"25",2023-01-05,"20095"
"26",2023-01-07,"20267"
"27",2023-01-18,"20619"
"28",2023-01-26,"20888"
"29",2023-02-01,"21068"
"30",2023-02-08,"21250"
"31",2023-02-15,"21430"
"32",2023-02-22,"21430"
"33",2023-03-01,"21489"
"34",2023-03-08,"21628"
"35",2023-03-15,"21806"
"36",2023-03-22,"21874"
"37",2023-03-29,"21901"
"38",2023-03-30,"21928"
"39",2023-03-31,"21955"
