pango_lineage,who_variants
B.1.1.7,Alpha
B.1.351,Beta
B.1.351.2,Beta
B.1.351.3,Beta
P.1,Gamma
P.1.1,Gamma
P.1.2,Gamma
B.1.617.2,Delta
AY.1,Delta
AY.2,Delta
AY.3,Delta
AY.3.1,Delta
AY.4,Delta
AY.4.1,Delta
AY.4.2,Delta
AY.4.3,Delta
AY.4.4,Delta
AY.4.5,Delta
AY.5,Delta
AY.5.1,Delta
AY.5.2,Delta
AY.5.3,Delta
AY.5.4,Delta
AY.6,Delta
AY.7,Delta
AY.7.1,Delta
AY.7.2,Delta
AY.8,Delta
AY.9,Delta
AY.9.1,Delta
AY.9.2,Delta
AY.9.2.1,Delta
AY.10,Delta
AY.11,Delta
AY.12,Delta
AY.13,Delta
AY.14,Delta
AY.15,Delta
AY.16,Delta
AY.16.1,Delta
AY.17,Delta
AY.18,Delta
AY.19,Delta
AY.20,Delta
AY.21,Delta
AY.22,Delta
AY.23,Delta
AY.23.1,Delta
AY.24,Delta
AY.25,Delta
AY.25.1,Delta
AY.26,Delta
AY.27,Delta
AY.28,Delta
AY.29,Delta
AY.29.1,Delta
AY.30,Delta
AY.31,Delta
AY.32,Delta
AY.33,Delta
AY.34,Delta
AY.35,Delta
AY.36,Delta
AY.37,Delta
AY.38,Delta
AY.39,Delta
AY.39.1,Delta
AY.39.1.1,Delta
AY.39.2,Delta
AY.40,Delta
AY.41,Delta
AY.42,Delta
AY.43,Delta
AY.44,Delta
AY.45,Delta
AY.46,Delta
AY.46.1,Delta
AY.46.2,Delta
AY.46.3,Delta
AY.46.4,Delta
AY.46.5,Delta
AY.46.6,Delta
AY.47,Delta
AY.48,Delta
AY.49,Delta
AY.50,Delta
AY.51,Delta
AY.52,Delta
AY.53,Delta
AY.54,Delta
AY.55,Delta
AY.56,Delta
AY.57,Delta
AY.58,Delta
AY.59,Delta
AY.60,Delta
AY.61,Delta
AY.62,Delta
AY.63,Delta
AY.64,Delta
AY.65,Delta
AY.66,Delta
AY.67,Delta
AY.68,Delta
AY.69,Delta
AY.70,Delta
AY.71,Delta
AY.72,Delta
AY.73,Delta
AY.74,Delta
AY.75,Delta
AY.75.1,Delta
AY.76,Delta
AY.77,Delta
AY.78,Delta
AY.79,Delta
AY.80,Delta
AY.81,Delta
AY.82,Delta
AY.83,Delta
AY.84,Delta
AY.85,Delta
AY.86,Delta
AY.87,Delta
AY.88,Delta
AY.89,Delta
AY.90,Delta
AY.91,Delta
AY.91.1,Delta
AY.92,Delta
AY.93,Delta
