code	country_exposure	2020_EW10	2020_EW11	2020_EW12	2020_EW13	2020_EW14	2020_EW15	2020_EW16	2020_EW17	2020_EW18	2020_EW19	2020_EW20	2020_EW21	2020_EW22	2020_EW23	2020_EW24	2020_EW25	2020_EW26	2020_EW27	2020_EW28	2020_EW29	2020_EW30	2020_EW31	2020_EW32	2020_EW33	2020_EW34	2020_EW35	2020_EW36	2020_EW37	2020_EW38	2020_EW39	2020_EW40	2020_EW41	2020_EW42	2020_EW43	2020_EW44	2020_EW45	2020_EW46	2020_EW47	2020_EW48	2020_EW49	2020_EW50	2020_EW51	2020_EW52	2020_EW53	2021_EW01	2021_EW02	2021_EW03	2021_EW04	2021_EW05	2021_EW06	2021_EW07	2021_EW08	2021_EW09	2021_EW10	2021_EW11	2021_EW12	2021_EW13	2021_EW14	2021_EW15	2021_EW16	2021_EW17	2021_EW18	2021_EW19	2021_EW20	2021_EW21	2021_EW22	2021_EW23	2021_EW24	2021_EW25	2021_EW26	2021_EW27	2021_EW28	2021_EW29	2021_EW30	2021_EW31	2021_EW32	2021_EW33	2021_EW34	2021_EW35	2021_EW36	2021_EW37	2021_EW38	2021_EW39	2021_EW40	2021_EW41	2021_EW42	2021_EW43	2021_EW44	2021_EW45	2021_EW46	2021_EW47	2021_EW48	2021_EW49	2021_EW50	2021_EW51	2021_EW52	2022_EW01	2022_EW02	2022_EW03	2022_EW04	2022_EW05	2022_EW06	2022_EW07	2022_EW08	2022_EW09	2022_EW10	2022_EW11	2022_EW12	2022_EW13	2022_EW14	2022_EW15	2022_EW16	2022_EW17	2022_EW18	2022_EW19	2022_EW20	2022_EW21	2022_EW22	2022_EW23	2022_EW24	cumulative_proportion
AK	USA	X	0.0	0.6	0.25	0.125	0.07865168539325842	0.034482758620689655	0.04	0.038461538461538464	0.0	0.0	0.0	0.03125	0.0916030534351145	0.1103448275862069	0.072	0.14754098360655737	0.07395498392282958	0.03903903903903904	0.016129032258064516	0.03819918144611187	0.0020920502092050207	0.0	0.0	0.0	0.0	0.0	0.0	0.0018050541516245488	0.0014184397163120568	0.0	0.0	0.0	0.0	0.0	0.01253812267028126	0.005200208008320333	0.007352941176470588	0.003076923076923077	0.005591219714226548	0.0049692380501656416	0.0031338138514572234	0.00616591928251121	0.0021514629948364886	0.017145505097312327	0.012360211889346674	0.009352037408149633	0.038350910834132314	0.04122722914669223	0.044386422976501305	0.1686746987951807	0.047244094488188976	0.05101058710298364	0.04935622317596566	0.067853170189099	0.08014571948998178	0.11066235864297254	0.08508977361436378	0.10711150131694469	0.13971880492091387	0.1854912764003673	0.2527322404371585	0.2876712328767123	0.3264840182648402	0.23202614379084968	0.2681992337164751	0.28415300546448086	0.3721973094170404	0.525	0.24355300859598855	0.49855907780979825	0.4992947813822285	0.18577648766328012	0.10011990407673861	0.09380952380952381	0.15690657130084934	0.2004200420042004	0.11704197942730053	0.09282591925944973	0.10213986322523715	0.09238187078109933	0.03825659243065992	0.014456630109670987	0.04233835252435784	0.04969621436360804	0.038873751135331515	0.05113759479956663	0.05057905932403687	0.07576254509675304	0.08058984910836763	0.061377245508982034	0.147074327886136	0.11658570437196392	0.0700164744645799	0.1297709923664122	0.06346666666666667	0.026148582600195504	0.023068224651338107	0.014706761523285705	0.014251363556389654	0.01805688718440396	0.023504867872044505	0.042812662169174884	0.08250825082508251	0.10256410256410256	0.05598159509202454	0.12147651006711409	0.1343915343915344	0.06554798112218144	0.12606837606837606	0.06983883346124328	0.016361256544502618	0.02540106951871658	0.03756830601092896	0.031423290203327174	0.041025641025641026	0.02178217821782178	0.0	0.0	0.0	0.047321083788536014
AL	USA	X	0.0	0.0	0.006134969325153374	0.0010799136069114472	0.0006176652254478073	0.0013869625520110957	0.0	0.0021037868162692847	0.0004950495049504951	0.0014231499051233396	0.0004	0.0002975304968759298	0.0	0.0	0.0	0.0	0.0	0.0	7.474400179385604e-05	0.0	0.00024770869457517957	0.0	0.0002828054298642534	0.00025371051630090067	0.00010699764605178686	0.00014795088030773783	0.0001599488163787588	0.0	0.0001353729524840937	0.0024944567627494456	0.007518796992481203	0.0018819733835192902	0.001624764836668377	0.014925373134328358	0.01696113074204947	0.013793103448275862	0.005785401950891355	0.01344067203360168	0.020888652858913084	0.003484872485347695	3.6950818460628905e-05	0.00021227816931306784	0.0010769230769230769	0.004445641923750505	0.0014862291579582926	0.004104258834816908	0.007372986369268897	0.006611990590628775	0.009479227618490346	0.005872756933115824	0.017171868000597282	0.01025564803804994	0.021058038007190548	0.009509123618607042	0.023115577889447236	0.03814392449862367	0.04054738976178408	0.03415184871577759	0.026015396867533847	0.03193695562007466	0.042299794661190965	0.010787011557512383	0.045736064792758456	0.046716316858496955	0.022935779816513763	0.03624856156501726	0.03373313343328336	0.05951448707909162	0.0718475073313783	0.05291805261566374	0.06895136466242562	0.06961566352429296	0.06925224569070162	0.061938709378761225	0.05677425589485891	0.021227822264091693	0.033783783783783786	0.024758492738788305	0.027815468113975575	0.030859531326426253	0.02112970711297071	0.020760966152354794	0.03333767417632504	0.02432522492502499	0.021909744931327666	0.007465162574651626	0.014436016638120872	0.013798701298701298	0.0125	0.012958963282937365	0.027620841180163214	0.02937319695777603	0.029576937476600524	0.01593625498007968	0.021381751901573837	0.009559267458241094	0.00980698194682899	0.0015365495424245848	0.0030630236419093705	0.007476739034116084	0.013674864782120625	0.016902738432483477	0.014848390121913097	0.00913937547600914	0.003138420878757846	0.00411522633744856	0.009077155824508321	0.004391891891891892	0.00792393026941363	0.001755926251097454	0.0055147058823529415	0.006265664160401002	0.02283653846153846	0.02464332036316472	0.03340687046958714	0.026130873956960912	0.032229965156794424	0.0	0.0	0.013250999721008091
AR	USA	X	0.0	0.07563025210084033	0.006968641114982578	0.005988023952095809	0.0	0.0	0.000856898029134533	0.0	0.0	0.0	0.0	0.0	0.0009578544061302681	0.0	0.0	0.0	0.0017953321364452424	0.0079484425349087	0.0036410366245448705	0.0007342143906020558	0.0	0.0	0.0	0.0	0.00023929169657812874	0.002319109461966605	0.00039840637450199205	0.0003669724770642202	0.0	0.0003466204506065858	0.0	0.0	0.0	0.0008731082654249127	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00043305665824612056	0.0009729296629084874	0.0022655634357762015	0.00037977430555555556	0.0031988764921588517	0.005793539325842697	0.009163312494647597	0.0040012311480455524	0.004497751124437781	0.00605296343001261	0.00622938805423232	0.014814814814814815	0.01903114186851211	0.02817974105102818	0.02252252252252252	0.04155124653739612	0.04579025110782865	0.04777327935222672	0.06636500754147813	0.08223911541119558	0.07940251572327044	0.06208425720620843	0.0608	0.08341232227488152	0.08704188481675393	0.08442776735459662	0.10044893378226712	0.12631578947368421	0.09239909854538005	0.09339887640449439	0.06367041198501873	0.060293632464533155	0.03883082158483228	0.040501885320504485	0.03799961873292241	0.032878028691056355	0.05032915693353154	0.04649704354058413	0.04831288343558282	0.0511622031328954	0.043795620437956206	0.06564506108925243	0.08805182341650672	0.05312317571511967	0.05542570951585977	0.05393634840871022	0.03655728267127231	0.03467029231815092	0.03525545264415895	0.049479166666666664	0.02999044890162369	0.03496225665474772	0.029189509556971402	0.03549636803874092	0.021098340924645412	0.01495794571173697	0.008146467041528351	0.016071267342823606	0.008221343873517787	0.01895399134880063	0.018091476621225632	0.00898921294446664	0.005794910556815319	0.002726446531354135	0.003142183817753339	0.0032064128256513026	0.017391304347826087	0.04070796460176991	0.02018348623853211	0.021447721179624665	0.012074643249176729	0.023017902813299233	0.029861111111111113	0.019756838905775075	0.015183466891606916	0.002824858757062147	0.0	0.0	0.019192493269997637
AS	USA	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	0.0	X	0.0	X	0.0	X	X	0.0	X	X	0.2	X	X	0.0	X	0.0	X	X	X	0.29411764705882354	0.22727272727272727	X	0.14814814814814814	0.0	0.0	0.0	0.0	0.003215434083601286	0.00832639467110741	0.003861003861003861	0.01744186046511628	0.03508771929824561	0.13861386138613863	0.0	0.0	0.0	0.0	X	0.0	0.009932208734037521
AZ	USA	1.0	1.0	1.0	0.16741405082212257	0.05698234349919743	0.09970887918486172	0.17655897821187078	0.16069142125480154	0.2978825794032724	0.0847457627118644	0.07538802660753881	0.06535400083787181	0.05273010920436817	0.031325690295494917	0.0253013356499077	0.021594362190470034	0.019452917937690654	0.01133248782882625	0.012537948980798802	0.011014764471525662	0.007775884107371112	0.010907375744354696	0.011532125205930808	0.013746754238582556	0.01659988551803091	0.19310141509433962	0.12080378250591016	0.14668709306779013	0.06712151945417666	0.13435114503816795	0.13546039742513294	0.16117056125791657	0.08538587848932677	0.1593537145572628	0.1354916067146283	0.2802063297779332	0.043908354074925014	0.012432117050401688	0.002696793002915452	0.004428943143442396	0.0042115864405227865	0.005061127908505324	0.00827940191921446	0.008197965689995446	0.031014003959234548	0.032759083887433676	0.041522205712398876	0.03277050128872758	0.03488372093023256	0.049106592729513246	0.05230627306273063	0.07261106454316849	0.06884827879303017	0.08086021505376344	0.15527104331244893	0.1930512748669095	0.16230017761989343	0.1952537140652132	0.23454951600893523	0.15161161957819339	0.14121929026387625	0.1434213261276242	0.1543509965969859	0.14457215836526183	0.0966707768187423	0.11165730337078651	0.0964401294498382	0.08713410483321987	0.12347877708518848	0.1276595744680851	0.19912578921806703	0.12828467153284673	0.13914501257334452	0.08	0.07496909765142151	0.06896551724137931	0.07301743186840166	0.056026795423898386	0.06390368140773327	0.07133578696687595	0.07190319269623467	0.07268975005732631	0.07678075855689177	0.09635737140044302	0.10214051552355853	0.09936445856758738	0.09181715575620768	0.08948425331831317	0.07515288059221113	0.07359934611383563	0.07017471736896197	0.10027279812938425	0.07199482284419997	0.10145476946405724	0.12069550055698164	0.12451428571428572	0.10369134515119917	0.07472430090586846	0.03738952276236654	0.03319685640429555	0.03586893007506405	0.05123290058377625	0.06730426517761673	0.046385110952040086	0.12219644238205724	0.054359444189952665	0.0669512905103823	0.05891371003066141	0.019520851818988466	0.03976608187134503	0.06409794742527908	0.16701724863273032	0.2072340425531915	0.12221938123242138	0.13825136612021857	0.0984175458078845	0.052530874934771266	0.04585186321116393	0.02296109559174218	0.0	0.056467643870031
CA	USA	0.5638297872340425	0.6182572614107884	0.647502356267672	0.06489048708728343	0.06063496389153836	0.035933696534137013	0.024180372508441347	0.023494486853265478	0.02994587043827484	0.019515477792732168	0.021867321867321866	0.019391959085097315	0.011673800655956417	0.01224090093030847	0.006405008427642668	0.008628740054536626	0.006886190058845624	0.004909785222152628	0.00720011755293964	0.00770435727758064	0.0045007999760754815	0.004277041942604857	0.00441705630130788	0.0024885116257767057	0.0052779900649598775	0.005733186328555678	0.010938559191471004	0.008643530382660818	0.012367785458482551	0.009205937221185822	0.008800507721599323	0.02973168963016679	0.021301883342475774	0.01190888755867805	0.010890690972454929	0.012723192972405232	0.012619676894264261	0.01089285513961028	0.007857754000177021	0.017468398312864727	0.028973087221203415	0.019701436811206098	0.007340202918072819	0.009002152303814676	0.021103336375621135	0.024878671225904498	0.02813511350323052	0.03409694793536804	0.08640491318094122	0.09701092325496062	0.09671700450690988	0.09688902646649125	0.14941649129519802	0.16663935097926738	0.19561207649742743	0.19003729355354287	0.19135244375897464	0.146382720333102	0.17786796536796537	0.22524977293369663	0.21097256857855362	0.24312799817254244	0.20963022080340515	0.22793622277116551	0.12337146488719415	0.23016123932975024	0.23640462102000565	0.29742145820983995	0.24382716049382716	0.4530379230664673	0.4890954058307727	0.40435339308578744	0.369258825648415	0.34520428228097005	0.2116923140778865	0.18835697733566947	0.10640935499389409	0.11643011787346644	0.09747642531415719	0.14131407857467823	0.12077796639934438	0.1702587760397895	0.14088944385745847	0.17409116594462234	0.19831550802139036	0.20467080745341615	0.2333639073606971	0.2484432525794282	0.22839922637520801	0.30616493692126034	0.2865858585858586	0.25030044794056594	0.24796550339258916	0.30519775410783584	0.25230354417122547	0.07874895639329522	0.03499894853736013	0.012500952905923263	0.017303252912872207	0.01871102917370525	0.05450398729100146	0.0936236254859146	0.12556970961680214	0.11187490557486025	0.10638297872340426	0.10474621175406287	0.08533241946538725	0.12555149376024202	0.1722657507781475	0.1656651644132866	0.18455009216787413	0.11455557529460532	0.09149205202312138	0.0901150173611111	0.07507712290956324	0.04028303706486097	0.02695342692286952	0.012563697065542084	0.0004146543733840675	1.9096907255869913e-05	0.060570669956384104
CO	USA	1.0	1.0	0.19086021505376344	0.07377049180327869	0.07068690095846646	0.05369415807560137	0.07773851590106007	0.10232426303854875	0.050967147681915875	0.07111111111111111	0.03587245349867139	0.12012012012012012	0.07263355201499531	0.06914285714285714	0.08212147134302823	0.08039068369646882	0.06929510155316607	0.08731019522776573	0.1596330275229358	0.14670003127932438	0.10597350662334416	0.06756756756756757	0.07719986915276415	0.061256961018297536	0.08606356968215159	0.07927677329624479	0.08530318602261049	0.06439790575916231	0.10635838150289018	0.07462686567164178	0.07292954264524104	0.08511893060743071	0.08458451018284525	0.03620861477134315	0.013333333333333334	0.022263180870155698	0.012665110180062045	0.015206658202849485	0.011142334335380996	0.016030439121756487	0.009969243822250503	0.016981492081663805	0.01633276540743787	0.014338069825757088	0.015575221238938054	0.018780957622454596	0.02333884873290952	0.023376106634835372	0.029555050341019812	0.024750773461670678	0.04451603455850051	0.046013071895424834	0.05987951807228915	0.09755399799742526	0.13964664310954064	0.14236066417814391	0.14574376612209802	0.15651678998292545	0.12429866206301252	0.11247531553189663	0.1357078077335312	0.2113176028398413	0.206146408839779	0.23512459738938804	0.20382634289919058	0.178998778998779	0.18382710053423992	0.19778374748153124	0.2090970807875085	0.29010989010989013	0.26558005752636626	0.32730455075845977	0.44335260115606934	0.3079578802002417	0.3833585476550681	0.333418432473832	0.29318036966220523	0.26450344149459193	0.26233936318245066	0.2604432397959184	0.2793369201686782	0.3234765561182813	0.3271590279426898	0.3694139684238694	0.29791132282887506	0.361890881439706	0.2986744619726828	0.3964189256777033	0.3934067977867671	0.2453675243698955	0.37354744525547445	0.3313605930176949	0.2803768471317029	0.4169220842071302	0.2745851881829219	0.19735037768739105	0.16890610968836264	0.10272852131465914	0.09413612183037726	0.13124380665761368	0.2375659065721866	0.271422381107139	0.23718392129736376	0.2108994708994709	0.22424052615095522	0.14430147058823528	0.1627505183137526	0.09943734015345268	0.135345405767941	0.12972695808229714	0.14450743395015508	0.13560966146085945	0.1032870122928915	0.13464647949434072	0.08345659346910911	0.142571329157968	0.06765318328829029	0.04735625326273398	6.785411365564038e-05	0.0	0.14542606512110723
CT	USA	X	1.0	0.38596491228070173	0.05413533834586466	0.052505330490405115	0.010587102983638113	0.0026490066225165563	0.0005687473339968719	0.002976190476190476	0.005409791723018664	0.0024200053777897286	0.0006025911419102139	0.0019851116625310174	0.0005567928730512249	0.002551020408163265	0.0013869625520110957	0.002036659877800407	0.0019569471624266144	0.007017543859649123	0.0033003300330033004	0.0022650056625141564	0.0009671179883945841	0.00196078431372549	0.0017331022530329288	0.04258675078864353	0.0010245901639344263	0.0011494252873563218	0.01664932362122789	0.011656952539550375	0	0.0005847953216374269	0	0.004656160458452722	0.00031036623215394165	0.0015518913676042677	0.004336513443191674	0.00038022813688212925	0.001091703056768559	0.0003599712023038157	0.0009250693802035153	0.0009975847947075501	0.002122214593346233	0.0020078305391024996	0.003165103297462163	0.009449414136323548	0.004762451227909112	0.006253039672062808	0.008600917431192661	0.011445074339501551	0.031638418079096044	0.03313671061762665	0.03491599707815924	0.046805349182763745	0.10425004764627406	0.07311089303238469	0.09343819697147553	0.04344843356963183	0.12136304062909567	0.09256286784376672	0.12640252454417952	0.10096261473024401	0.09842180774748924	0.12970340858787074	0.15801186943620177	0.11122047244094488	0.11636363636363636	0.11328976034858387	0.2	0.11648351648351649	0.20786516853932585	0.17849898580121704	0.23371104815864022	0.2511013215859031	0.21714534377719757	0.15931569099171344	0.2148936170212766	0.19328358208955224	0.15725474031327288	0.14660040659588885	0.1895734597156398	0.13902754668145684	0.1781185491005603	0.16141614161416143	0.20224337185588034	0.2362760834670947	0.21978730261037704	0.2859567246499788	0.3591785414920369	0.36461704422869473	0.22310371517027863	0.13843384338433842	0.16157012643340193	0.08128357364998587	0.07247723471473703	0.06250329103259439	0.05034941483539614	0.027659273019221383	0.015048308044033135	0.03938185443668993	0.05086899491719954	0.08530287984111222	0.10631672597864769	0.16948626416265714	0.24	0.12907166123778502	0.10259046052631579	0.23445416858590512	0.14518900343642613	0.18019480519480519	0.18159203980099503	0.16372425388818831	0.10571614160441702	0.134136918559728	0.12089722468635154	0.0733744732089103	0.041859440405375634	0.07818325612925094	0.05782250686184812	0.005877034358047016	0.0	0.05638896705293919
DC	USA	X	X	0.37755102040816324	0.20388349514563106	0.028428093645484948	0.003424657534246575	0.0045045045045045045	0.007744433688286544	0.01366120218579235	0.0007662835249042146	0.007446808510638298	0	0.0013315579227696406	0	0	0.007272727272727273	0.004310344827586207	0	0.011299435028248588	0.010178117048346057	0.01338432122370937	0.004098360655737705	0	0	0	0	0.003194888178913738	0.00392156862745098	0.0024449877750611247	0.003194888178913738	0.007751937984496124	0.0022471910112359553	0.007211538461538462	0.005376344086021506	0.005357142857142857	0.0832	0.0021668472372697724	0.0034873583260680036	0.002969561989606533	0.023017902813299233	0.0033879164313946925	0.023543260741612712	0.017543859649122806	0.05391884380211229	0.022073921971252568	0.023557692307692307	0.045454545454545456	0.04100946372239748	0.06666666666666667	0.06420021762785637	0.09114927344782034	0.0745945945945946	0.06037735849056604	0.057808455565142365	0.08882907133243607	0.06506849315068493	0.08740068104426787	0.10120481927710843	0.08690330477356181	0.0953125	0.1087866108786611	0.08565310492505353	0.15846994535519127	0.2639593908629442	0.23391812865497075	0.17058823529411765	0.18018018018018017	0.3125	0.27419354838709675	0.2054794520547945	0.2987012987012987	0.3147208121827411	0.29283489096573206	0.36941176470588233	0.3588652482269504	0.2540983606557377	0.18141980718667836	0.23476112026359144	0.18355359765051396	0.3187022900763359	0.16816976127320954	0.19423929098966028	0.2024866785079929	0.1436907366885485	0.4744525547445255	0.17973856209150327	0.20705521472392638	0.27191413237924866	0.2465034965034965	0.289193302891933	0.35684647302904565	0.33260869565217394	0.35377358490566035	0.27413587604290823	0.10028756290438534	0.031655458188981724	0.030278024628665735	0.019271405629279013	0.05179208106586602	0.07986243790599924	0.06488991888760139	0.16503587736464448	0.15507411630558723	0.22098569157392686	0.33238636363636365	0.1908256880733945	0.21928166351606806	0.2543859649122807	0.34929078014184395	0.5369595536959554	0.2236053480866759	0.24447252053063803	0.7738095238095238	X	0.20098643649815043	0.29362333168561544	0.18825812712275594	0.20530565167243367	0.05852842809364549	0.0	0.09991632016294864
DE	USA	X	0.8333333333333334	0.46153846153846156	0.33136094674556216	0.08970976253298153	0.002257336343115124	0	0.002890173410404624	0.002051983584131327	0	0.0007874015748031496	0.004073319755600814	0.026875699888017916	0.002364066193853428	0.013020833333333334	0.035398230088495575	0.0024390243902439024	0	0.004016064257028112	0	0	0.004273504273504274	0.0032	0.008948545861297539	0.004629629629629629	0.013182674199623353	0.01639344262295082	0.007194244604316547	0.012448132780082987	0.014144271570014143	0.007223942208462332	0.012600229095074456	0.01059322033898305	0.011049723756906077	0.01358695652173913	0.0038255547054322878	0.003275620028076743	0.0023923444976076554	0.0032845625559868616	0.010845006778129237	0	0.00038022813688212925	0.005072630850818538	0.011363636363636364	0.010710460549803642	0.012660812742495406	0.020691173233546113	0.022552255225522552	0.00920648838228847	0.008098591549295774	0.014523937600860678	0.019133937562940583	0.035758323057953144	0.014377788795240456	0.014557670772676373	0.03297328027288232	0.06818181818181818	0.09125117591721543	0.09362859362859363	0.09395348837209302	0.09031877213695395	0.08515448379804069	0.06918918918918919	0.11869225302061123	0.12448979591836734	0.15	0.1746031746031746	0.14354066985645933	0.13953488372093023	0.047619047619047616	0.27167630057803466	0.11875	0.18717948717948718	0.16666666666666666	0.18158123370981755	0.17740945365254757	0.16402814423922604	0.16876267748478702	0.13946061036195884	0.15718827269516072	0.14838909541511772	0.13765432098765432	0.12791430371770637	0.13415825464018236	0.10866202629543696	0.12042124542124542	0.12579281183932348	0.12876052948255115	0.14523685580426862	0.11500198965380024	0.10207539178314273	0.12005689900426743	0.06520704426463589	0.03750781412794332	0.04412650602409639	0.06308354307055289	0.05992590978426673	0.031892554029223905	0.04311180726486164	0.039489240955308584	0.042138530418751645	0.055993690851735015	0.12636033857315598	0.04730179880079947	0.12125340599455041	0.1162514827995255	0.1436077057793345	0.12033898305084746	0.138763197586727	0.14285714285714285	0.1560130010834236	0.14432989690721648	0.16101694915254236	0.06788511749347259	0.04395984769816545	0.024571854058078928	0.034119278779472954	0.010119262739428984	0	0.0	0.0538623087376242
