"","week","case_count","case_cumulative","seq_count","seq_cumulative","percent","log_cases","log_seq"
"1",2021-01-04,15874,205994,142,967,0.89,12.2356023211339,6.87419849545329
"2",2021-01-11,17428,223422,85,1052,0.49,12.3168176388348,6.95844839329766
"3",2021-01-18,14393,237815,107,1159,0.74,12.3792483394665,7.05531284333975
"4",2021-01-25,12208,250023,104,1263,0.85,12.4293081926126,7.14124512235049
"5",2021-02-01,9349,259372,95,1358,1.02,12.4660186036351,7.21376830811864
"6",2021-02-08,7965,267337,265,1623,3.33,12.4962653137972,7.39203156751459
"7",2021-02-15,5764,273101,192,1815,3.33,12.5175969691175,7.50384074669895
"8",2021-02-22,6845,279946,236,2051,3.45,12.5423520064092,7.62608275807238
"9",2021-03-01,5384,285330,286,2337,5.31,12.5614016841445,7.75662333453886
"10",2021-03-08,5247,290577,528,2865,10.06,12.5796238803928,7.96032362914884
"11",2021-03-15,6114,296691,568,3433,9.29,12.6004464721485,8.14118979345769
"12",2021-03-22,8519,305210,717,4150,8.42,12.6287553432554,8.33086361322474
"13",2021-03-29,8746,313956,342,4492,3.91,12.6570081276831,8.41005331585833
"14",2021-04-05,7630,321586,1025,5517,13.43,12.6810202830011,8.61558951327243
"15",2021-04-12,7476,329062,679,6196,9.08,12.7040014618411,8.73165920153676
"16",2021-04-19,5704,334766,664,6860,11.64,12.7211870592745,8.83346272071993
"17",2021-04-26,4467,339233,430,7290,9.63,12.7344424659036,8.8942588250027
"18",2021-05-03,3485,342718,337,7627,9.67,12.7446632305569,8.93944986216424
"19",2021-05-10,2259,344977,283,7910,12.53,12.7512330271245,8.9758830607617
"20",2021-05-17,1348,346325,195,8105,14.47,12.7551329195261,9.00023643416978
"21",2021-05-24,1016,347341,109,8214,10.73,12.7580622853204,9.0135952945165
"22",2021-05-31,550,347891,67,8281,12.18,12.7596444913027,9.0217190130337
"23",2021-06-07,459,348350,47,8328,10.24,12.7609630004583,9.02737861029481
"24",2021-06-14,315,348665,64,8392,20.32,12.7618668548127,9.03503415007613
