"","Collection.date","Lineage names","n","freq","movavg","ShortLin"
"1",2022-08-02,"BA.5.2.1",32,43.24,35.87,"BA.5"
"2",2022-09-08,"BA.5.2.1",30,42.86,31.54,"BA.5"
"3",2022-08-14,"BA.5.2.1",13,40.62,32.95,"BA.5"
"4",2022-09-22,"BE.1",4,40,14.67,"BA.5"
"5",2022-09-21,"BA.5.2.1",11,39.29,22.19,"BA.5"
"6",2022-08-11,"BA.5.2.1",24,38.1,32.68,"BA.5"
"7",2022-08-09,"BA.5.2.1",17,37.78,30.83,"BA.5"
"8",2022-09-02,"BA.5.2.1",21,37.5,34.1,"BA.5"
"9",2022-08-17,"BA.5.2.1",28,37.33,33.96,"BA.5"
"10",2022-07-28,"BA.5.2.1",32,36.78,33.9,"BA.5"
"11",2022-07-16,"BA.5.2.1",16,36.36,27.34,"BA.5"
"12",2022-09-25,"BA.5.2.1",5,35.71,23.67,"BA.5"
"13",2022-08-26,"BA.5.2.1",27,35.53,33.68,"BA.5"
"14",2022-09-03,"BA.5.2.1",18,35.29,32.81,"BA.5"
"15",2022-08-18,"BA.5.2.1",13,35.14,34.3,"BA.5"
"16",2022-08-28,"BA.5.2.1",20,35.09,32.46,"BA.5"
"17",2022-08-03,"BA.5.2.1",28,34.57,37.21,"BA.5"
"18",2022-08-04,"BA.5.2.1",23,33.82,32.47,"BA.5"
"19",2022-07-21,"BA.5.2.1",28,33.73,29.76,"BA.5"
"20",2022-07-22,"BA.5.2.1",32,33.68,31.24,"BA.5"
"21",2022-07-27,"BA.5.2.1",16,33.33,34.14,"BA.5"
"22",2022-08-21,"BA.5.2.1",19,33.33,31.97,"BA.5"
"23",2022-08-22,"BA.5.2.1",28,32.94,32.8,"BA.5"
"24",2022-08-27,"BA.5.2.1",21,32.81,34.48,"BA.5"
"25",2022-08-25,"BA.5.2.1",17,32.69,28.88,"BA.5"
"26",2022-08-07,"BA.5.2.1",14,32.56,24.32,"BA.5"
"27",2022-08-10,"BA.5.2.1",13,32.5,36.13,"BA.5"
"28",2022-07-26,"BA.5.2.1",32,32.32,29.51,"BA.5"
"29",2022-08-13,"BA.5.2.1",18,32.14,33.4,"BA.5"
"30",2022-08-23,"BA.5.2.1",18,32.14,27.83,"BA.5"
"31",2022-09-23,"BA.5.2",8,32,24.59,"BA.5"
"32",2022-09-23,"BA.5.2.1",8,32,20.47,"BA.5"
"33",2022-07-29,"BA.5.2.1",18,31.58,33.04,"BA.5"
"34",2022-08-31,"BA.5.2.1",17,31.48,30.16,"BA.5"
"35",2022-09-05,"BA.4.6",5,31.25,24.37,"BA.4"
"36",2022-09-05,"BA.5.2",5,31.25,26.93,"BA.5"
"37",2022-07-30,"BA.5.2.1",16,30.77,30.09,"BA.5"
"38",2022-08-19,"BA.5.2.1",21,30.43,31.73,"BA.5"
"39",2022-09-22,"BA.5.2",3,30,24.24,"BA.5"
"40",2022-08-01,"BA.5.2.1",14,29.79,33.65,"BA.5"
"41",2022-08-20,"BA.5.2.1",16,29.63,31.13,"BA.5"
"42",2022-09-01,"BA.5.2.1",18,29.51,32.83,"BA.5"
"43",2022-08-30,"BA.5.2.1",23,29.49,30.15,"BA.5"
"44",2022-08-29,"BA.5.2.1",28,29.47,31.35,"BA.5"
"45",2022-08-16,"BA.5.2.1",20,29.41,30.94,"BA.5"
"46",2022-09-24,"BA.5.2.1",5,29.41,32.37,"BA.5"
"47",2022-07-19,"BA.5.2.1",19,29.23,24.18,"BA.5"
"48",2022-07-13,"BA.5.2.1",21,29.17,NA,"BA.5"
"49",2022-08-05,"BA.5.2.1",27,29.03,27.01,"BA.5"
"50",2022-07-31,"BA.5.2.1",12,27.91,29.49,"BA.5"
"51",2022-08-20,"BA.5.2",15,27.78,16.46,"BA.5"
"52",2022-08-12,"BA.5.2.1",14,27.45,32.56,"BA.5"
"53",2022-09-20,"BA.5.2.1",6,27.27,28.85,"BA.5"
"54",2022-10-01,"BA.5.2.1",3,27.27,14.38,"BA.5"
"55",2022-09-09,"BA.5.2.1",19,26.76,31.54,"BA.5"
"56",2022-07-23,"BA.5.2.1",20,26.32,28.46,"BA.5"
"57",2022-08-15,"BA.5.2.1",12,26.09,32.04,"BA.5"
"58",2022-09-04,"BA.5.2",10,25.64,26.81,"BA.5"
"59",2022-09-04,"BA.5.2.1",10,25.64,22.39,"BA.5"
"60",2022-09-12,"BA.5.2.1",16,25.4,21.1,"BA.5"
"61",2022-07-24,"BA.5.2.1",17,25.37,24.86,"BA.5"
"62",2022-09-07,"BA.5.2.1",15,25,29.87,"BA.5"
"63",2022-09-10,"BA.5.2.1",11,25,24.8,"BA.5"
"64",2022-09-14,"BA.5.2",13,25,16.32,"BA.5"
"65",2022-09-27,"BA.5.2.1",5,25,16.96,"BA.5"
"66",2022-09-06,"BA.4.6",22,23.91,22.83,"BA.4"
"67",2022-09-06,"BA.5.2",22,23.91,23.39,"BA.5"
"68",2022-08-24,"BA.5.1",9,23.68,17.83,"BA.5"
"69",2022-08-12,"BA.5.1",12,23.53,18.56,"BA.5"
"70",2022-09-03,"BA.5.2",12,23.53,21.75,"BA.5"
"71",2022-09-24,"BA.4.6",4,23.53,12.89,"BA.4"
"72",2022-09-26,"BA.4.6",4,23.53,11.89,"BA.4"
"73",2022-09-30,"BA.4.6",4,23.53,19.79,"BA.4"
"74",2022-07-15,"BA.5.2.1",12,23.08,26.86,"BA.5"
"75",2022-07-25,"BA.5.2.1",19,22.89,26.86,"BA.5"
"76",2022-09-11,"BA.5.2.1",12,22.64,24.35,"BA.5"
"77",2022-07-17,"BA.5.2.1",14,22.58,26.79,"BA.5"
"78",2022-08-26,"BA.5.1",17,22.37,17.91,"BA.5"
"79",2022-08-08,"BA.5.2.1",12,22.22,30.85,"BA.5"
"80",2022-09-17,"BA.5.2.1",14,22.22,15.58,"BA.5"
"81",2022-07-20,"BA.5.2.1",14,21.88,28.28,"BA.5"
"82",2022-09-06,"BA.5.2.1",20,21.74,17.66,"BA.5"
"83",2022-08-18,"BA.5.2",8,21.62,16.25,"BA.5"
"84",2022-07-18,"BA.5.2.1",15,21.43,24.41,"BA.5"
"85",2022-08-23,"BA.5.2",12,21.43,16.63,"BA.5"
"86",2022-08-17,"BA.5.2",16,21.33,18.73,"BA.5"
"87",2022-07-14,"BA.5.2.1",15,21.13,24.46,"BA.5"
"88",2022-09-15,"BA.5.2.1",15,21.13,18.26,"BA.5"
"89",2022-08-28,"BA.5.2",12,21.05,18.19,"BA.5"
"90",2022-08-30,"BA.5.2",16,20.51,18.97,"BA.5"
"91",2022-09-19,"BA.5.2.1",8,20,17.84,"BA.5"
"92",2022-09-28,"BA.4.6",2,20,14.22,"BA.4"
"93",2022-09-28,"BA.5.2.1",2,20,16.96,"BA.5"
"94",2022-10-02,"BA.4.6",2,20,NA,"BA.4"
"95",2022-10-02,"BA.5.2",2,20,NA,"BA.5"
"96",2022-08-21,"BA.5.1",11,19.3,14.62,"BA.5"
"97",2022-08-25,"BA.5.2",10,19.23,16.94,"BA.5"
"98",2022-08-16,"BA.5.1",13,19.12,16.61,"BA.5"
"99",2022-09-11,"BA.5.2",10,18.87,14.61,"BA.5"
"100",2022-08-14,"BA.4.6",6,18.75,10.94,"BA.4"
"101",2022-09-18,"BA.5.2",9,18.75,15.18,"BA.5"
"102",2022-09-13,"BA.4.6",11,18.64,13.65,"BA.4"
"103",2022-08-08,"BA.5.1",10,18.52,12.27,"BA.5"
"104",2022-08-31,"BA.5.2",10,18.52,19.02,"BA.5"
"105",2022-08-24,"BA.5.2.1",7,18.42,27.75,"BA.5"
"106",2022-08-26,"BA.5.2",14,18.42,17.76,"BA.5"
"107",2022-09-09,"BA.5.1",13,18.31,15.41,"BA.5"
"108",2022-09-16,"BA.5.2.1",19,18.27,20.54,"BA.5"
"109",2022-07-16,"BA.5.1",8,18.18,13.9,"BA.5"
"110",2022-08-06,"BA.5.2.1",12,18.18,26.59,"BA.5"
"111",2022-10-01,"BA.4.6",2,18.18,20.57,"BA.4"
"112",2022-09-01,"BA.5.2",11,18.03,17.54,"BA.5"
"113",2022-09-04,"BA.4.6",7,17.95,20.98,"BA.4"
"114",2022-08-29,"BA.5.1",17,17.89,10.01,"BA.5"
"115",2022-08-29,"BA.5.2",17,17.89,19.82,"BA.5"
"116",2022-08-13,"BA.5.1",10,17.86,17.96,"BA.5"
"117",2022-07-17,"BA.5.1",11,17.74,17.69,"BA.5"
"118",2022-09-24,"BA.5.1",3,17.65,12.26,"BA.5"
