"","Collection.date","Lineage names","n","freq"
"1",2022-05-26,"BA.2.12.1",84,76.36
"2",2022-05-25,"BA.2.12.1",59,74.68
"3",2022-05-28,"BA.2.12.1",57,74.03
"4",2022-05-20,"BA.2.12.1",75,73.53
"5",2022-06-04,"BA.2.12.1",51,72.86
"6",2022-05-24,"BA.2.12.1",85,72.65
"7",2022-05-22,"BA.2.12.1",84,71.79
"8",2022-05-23,"BA.2.12.1",89,71.77
"9",2022-05-29,"BA.2.12.1",33,71.74
"10",2022-05-18,"BA.2.12.1",72,70.59
"11",2022-06-09,"BA.2.12.1",78,69.64
"12",2022-05-27,"BA.2.12.1",73,68.22
"13",2022-06-16,"BA.2.12.1",23,67.65
"14",2022-06-08,"BA.2.12.1",94,67.63
"15",2022-06-07,"BA.2.12.1",72,67.29
"16",2022-05-30,"BA.2.12.1",6,66.67
"17",2022-06-13,"BA.2.12.1",54,66.67
"18",2022-06-01,"BA.2.12.1",61,66.3
"19",2022-05-17,"BA.2.12.1",84,66.14
"20",2022-06-05,"BA.2.12.1",33,64.71
"21",2022-06-12,"BA.2.12.1",31,64.58
"22",2022-05-21,"BA.2.12.1",60,64.52
"23",2022-05-31,"BA.2.12.1",117,64.29
"24",2022-04-17,"BA.2",14,63.64
"25",2022-06-03,"BA.2.12.1",45,63.38
"26",2022-05-13,"BA.2.12.1",96,63.16
"27",2022-05-19,"BA.2.12.1",59,62.77
"28",2022-06-06,"BA.2.12.1",40,62.5
"29",2022-05-16,"BA.2.12.1",91,62.33
"30",2022-06-14,"BA.2.12.1",29,61.7
"31",2022-05-08,"BA.2.12.1",66,61.11
"32",2022-05-12,"BA.2.12.1",119,60.41
"33",2022-05-10,"BA.2.12.1",90,58.82
"34",2022-06-02,"BA.2.12.1",51,58.62
"35",2022-05-15,"BA.2.12.1",56,58.33
"36",2022-05-11,"BA.2.12.1",74,58.27
"37",2022-05-07,"BA.2.12.1",62,57.94
"38",2022-05-14,"BA.2.12.1",47,57.32
"39",2022-06-11,"BA.2.12.1",24,57.14
"40",2022-06-19,"BA.2.12.1",16,57.14
"41",2022-06-20,"BA.2.12.1",38,56.72
"42",2022-06-18,"BA.2.12.1",26,56.52
"43",2022-05-05,"BA.2.12.1",97,54.8
"44",2022-05-01,"BA.2.12.1",37,53.62
"45",2022-05-09,"BA.2.12.1",84,53.16
"46",2022-05-04,"BA.2.12.1",85,52.47
"47",2022-06-15,"BA.2.12.1",35,52.24
"48",2022-04-15,"BA.2",80,51.28
"49",2022-05-06,"BA.2.12.1",68,50.75
"50",2022-04-13,"BA.2",59,50
"51",2022-05-02,"BA.2.12.1",74,49.33
"52",2022-06-17,"BA.2.12.1",22,48.89
"53",2022-04-24,"BA.2",54,48.21
"54",2022-06-10,"BA.2.12.1",40,48.19
"55",2022-04-20,"BA.2",45,47.87
"56",2022-04-16,"BA.2",39,47.56
"57",2022-04-25,"BA.2.12.1",66,47.48
"58",2022-04-18,"BA.2",61,46.56
"59",2022-05-03,"BA.2.12.1",72,46.45
"60",2022-04-14,"BA.2",51,45.95
"61",2022-04-26,"BA.2",57,44.88
"62",2022-04-27,"BA.2.12.1",57,44.88
"63",2022-04-19,"BA.2",52,44.07
"64",2022-06-23,"BA.2.12.1",28,43.08
"65",2022-06-25,"BA.2.12.1",28,43.08
"66",2022-04-28,"BA.2",51,42.5
"67",2022-04-29,"BA.2",49,42.24
"68",2022-04-27,"BA.2",53,41.73
"69",2022-04-21,"BA.2",30,41.67
"70",2022-04-29,"BA.2.12.1",47,40.52
"71",2022-04-30,"BA.2.12.1",52,40.31
"72",2022-04-22,"BA.2.12.1",41,40.2
"73",2022-04-23,"BA.2",45,40.18
"74",2022-06-21,"BA.2.12.1",18,40
"75",2022-04-22,"BA.2",40,39.22
"76",2022-06-27,"BA.2.12.1",27,36.99
"77",2022-04-21,"BA.2.12.1",26,36.11
"78",2022-05-02,"BA.2",52,34.67
"79",2022-05-09,"BA.2",54,34.18
"80",2022-05-07,"BA.2",36,33.64
"81",2022-04-28,"BA.2.12.1",40,33.33
"82",2022-05-15,"BA.2",32,33.33
"83",2022-04-30,"BA.2",42,32.56
"84",2022-06-24,"BA.2.12.1",26,32.5
"85",2022-06-22,"BA.2.12.1",22,32.35
"86",2022-05-03,"BA.2",50,32.26
"87",2022-04-23,"BA.2.12.1",36,32.14
"88",2022-05-10,"BA.2",47,30.72
"89",2022-05-14,"BA.2",25,30.49
"90",2022-04-26,"BA.2.12.1",38,29.92
"91",2022-05-06,"BA.2",40,29.85
"92",2022-04-19,"BA.2.12.1",35,29.66
"93",2022-05-04,"BA.2",48,29.63
"94",2022-05-05,"BA.2",52,29.38
"95",2022-05-01,"BA.2",20,28.99
"96",2022-04-24,"BA.2.12.1",32,28.57
"97",2022-04-25,"BA.2",39,28.06
"98",2022-05-08,"BA.2",30,27.78
"99",2022-04-20,"BA.2.12.1",26,27.66
"100",2022-04-18,"BA.2.12.1",36,27.48
"101",2022-05-12,"BA.2",53,26.9
"102",2022-05-13,"BA.2",40,26.32
"103",2022-04-14,"BA.2.12.1",28,25.23
"104",2022-05-11,"BA.2",31,24.41
"105",2022-06-26,"BA.5.2.1",12,23.53
"106",2022-04-16,"BA.2.12.1",19,23.17
"107",2022-05-16,"BA.2",33,22.6
"108",2022-04-15,"BA.2.12.1",35,22.44
"109",2022-06-28,"BA.5.1",8,22.22
"110",2022-06-26,"BA.2.12.1",11,21.57
"111",2022-05-18,"BA.2",21,20.59
"112",2022-05-21,"BA.2",19,20.43
"113",2022-05-17,"BA.2",25,19.69
"114",2022-06-28,"BA.2.12.1",7,19.44
"115",2022-05-23,"BA.2",24,19.35
"116",2022-06-14,"BA.5",9,19.15
"117",2022-06-03,"BA.2",13,18.31
"118",2022-04-17,"BA.2.12.1",4,18.18
"119",2022-06-10,"BA.5",15,18.07
"120",2022-06-19,"BA.5.1",5,17.86
"121",2022-04-13,"BA.2.12.1",21,17.8
"122",2022-06-29,"BA.2",3,17.65
"123",2022-06-29,"BA.2.12.1",3,17.65
"124",2022-05-24,"BA.2",20,17.09
"125",2022-05-20,"BA.2",17,16.67
"126",2022-06-11,"BA.2",7,16.67
"127",2022-05-25,"BA.2",13,16.46
"128",2022-05-22,"BA.2",19,16.24
"129",2022-06-02,"BA.2",14,16.09
"130",2022-05-19,"BA.2",15,15.96
"131",2022-05-27,"BA.2",17,15.89
"132",2022-04-26,"BA.2.9",20,15.75
"133",2022-06-06,"BA.2",10,15.62
"134",2022-06-23,"BA.5.2.1",9,13.85
"135",2022-06-24,"BA.5",11,13.75
"136",2022-06-05,"BA.5",7,13.73
"137",2022-04-23,"BA.2.9",15,13.39
"138",2022-04-24,"BA.2.9",15,13.39
"139",2022-06-17,"BA.5.5",6,13.33
"140",2022-06-21,"BA.5.1",6,13.33
"141",2022-06-22,"BA.4.1",9,13.24
"142",2022-06-22,"BA.5.2.1",9,13.24
"143",2022-05-31,"BA.2",24,13.19
"144",2022-05-26,"BA.2",14,12.73
"145",2022-06-24,"BA.5.2.1",10,12.5
"146",2022-06-25,"BA.5.5",8,12.31
"147",2022-05-03,"BA.2.9",19,12.26
"148",2022-04-25,"BA.2.9",17,12.23
"149",2022-06-01,"BA.2",11,11.96
"150",2022-06-20,"BA.5",8,11.94
"151",2022-06-22,"BA.5.1",8,11.76
"152",2022-06-26,"BA.5.5",6,11.76
"153",2022-06-29,"BA.4",2,11.76
"154",2022-06-29,"BA.4.1",2,11.76
"155",2022-06-29,"BA.5.1",2,11.76
"156",2022-06-29,"BE.1",2,11.76
"157",2022-05-28,"BA.2",9,11.69
"158",2022-04-29,"BA.2.9",13,11.21
"159",2022-05-30,"BA.2.7",1,11.11
"160",2022-05-30,"BA.4",1,11.11
"161",2022-05-30,"Other",1,11.11
"162",2022-06-21,"BA.5.2.1",5,11.11
"163",2022-06-28,"BA.4",4,11.11
"164",2022-06-28,"BA.5",4,11.11
"165",2022-06-28,"BA.5.2",4,11.11
"166",2022-06-28,"BE.1",4,11.11
"167",2022-04-16,"BA.2.9",9,10.98
"168",2022-06-27,"BA.5.2.1",8,10.96
"169",2022-04-15,"BA.2.9",17,10.9
"170",2022-06-10,"BA.2.9",9,10.84
"171",2022-06-08,"BA.5",15,10.79
"172",2022-04-20,"BA.2.9",10,10.64
"173",2022-06-02,"BA.5",9,10.34
"174",2022-06-07,"BA.5",11,10.28
"175",2022-06-04,"BA.4",7,10
"176",2022-06-24,"BA.5.1",8,10
"177",2022-06-24,"BA.5.5",8,10
"178",2022-05-31,"BA.5",18,9.89
"179",2022-06-13,"BA.5",8,9.88
"180",2022-06-03,"BA.5",7,9.86
"181",2022-06-09,"BA.5",11,9.82
"182",2022-04-21,"BA.2.9",7,9.72
"183",2022-06-27,"BA.5.1",7,9.59
"184",2022-06-11,"BA.5.1",4,9.52
"185",2022-05-04,"BA.2.9",15,9.26
"186",2022-04-28,"BA.2.9",11,9.17
"187",2022-04-17,"BA.2.3",2,9.09
"188",2022-05-06,"BA.2.9",12,8.96
"189",2022-06-15,"BA.4",6,8.96
"190",2022-06-15,"BA.5",6,8.96
"191",2022-06-15,"BA.5.1",6,8.96
"192",2022-06-20,"BA.4",6,8.96
"193",2022-06-17,"BA.5",4,8.89
"194",2022-06-21,"BA.4",4,8.89
"195",2022-06-16,"BA.4",3,8.82
"196",2022-06-16,"BA.5.1",3,8.82
"197",2022-06-18,"BA.2",4,8.7
"198",2022-05-02,"BA.2.9",13,8.67
"199",2022-06-13,"BA.4",7,8.64
"200",2022-04-30,"BA.2.9",11,8.53
